iter	Passed	Remaining
0	151	187492
1	183	113492
2	301	123882
3	594	183025
4	718	176987
5	756	155154
6	784	137663
7	822	126224
8	853	116396
9	913	112014
10	935	104188
11	955	97471
12	982	92476
13	1014	88565
14	1038	84514
15	1088	83024
16	1104	79196
17	1116	75545
18	1128	72303
19	1145	69648
20	1166	67498
21	1180	65164
22	1195	63058
23	1208	61028
24	1226	59408
25	1244	57938
26	1301	58296
27	1326	57219
28	1353	56344
29	1366	54914
30	1394	54202
31	1412	53155
32	1453	52990
33	1478	52260
34	1500	51493
35	1549	51644
36	1584	51332
37	1603	50537
38	1721	52839
39	1759	52623
40	1794	52314
41	1818	51708
42	1895	52593
43	1944	52668
44	1965	52016
45	2002	51802
46	2031	51399
47	2062	51056
48	2113	51210
49	2150	51015
50	2177	50591
51	2196	50020
52	2232	49839
53	2317	50717
54	2360	50678
55	2375	50062
56	2397	49587
57	2414	49036
58	2430	48480
59	2451	48045
60	2525	48640
61	2544	48184
62	2559	47658
63	2574	47144
64	2593	46725
65	2612	46307
66	2628	45856
67	2699	46368
68	2730	46184
69	2763	46027
70	2781	45638
71	2807	45395
72	2824	44998
73	2840	44596
74	2897	44845
75	2911	44440
76	2930	44103
77	2949	43788
78	2962	43394
79	2977	43019
80	3004	42846
81	3075	43276
82	3138	43602
83	3165	43409
84	3183	43101
85	3206	42873
86	3226	42613
87	3291	42941
88	3325	42853
89	3348	42632
90	3366	42361
91	3379	42021
92	3391	41685
93	3405	41374
94	3418	41054
95	3471	41223
96	3484	40913
97	3498	40627
98	3516	40385
99	3532	40130
100	3548	39876
101	3563	39622
102	3578	39367
103	3591	39090
104	3604	38825
105	3662	39044
106	3677	38802
107	3695	38601
108	3725	38522
109	3748	38373
110	3763	38146
111	3786	38004
112	3849	38252
113	3862	38013
114	3879	37811
115	3892	37582
116	3909	37388
117	3924	37178
118	3947	37057
119	4119	38311
120	4151	38259
121	4182	38191
122	4203	38036
123	4216	37815
124	4275	37999
125	4382	38604
126	4483	39152
127	4517	39108
128	4546	39015
129	4625	39351
130	4685	39521
131	4706	39359
132	4751	39408
133	4791	39405
134	4815	39274
135	4832	39086
136	4861	39000
137	4874	38783
138	4891	38602
139	4915	38477
140	4954	38478
141	4976	38341
142	4994	38171
143	5045	38257
144	5065	38110
145	5079	37924
146	5109	37850
147	5123	37663
148	5136	37472
149	5160	37358
150	5231	37592
151	5262	37526
152	5291	37457
153	5320	37383
154	5339	37242
155	5454	37763
156	5512	37888
157	5558	37925
158	5647	38254
159	5712	38417
160	5788	38650
161	5853	38805
162	5984	39397
163	6119	40002
164	6198	40233
165	6269	40408
166	6314	40419
167	6346	40346
168	6413	40494
169	6433	40343
170	6458	40225
171	6490	40153
172	6510	40003
173	6534	39882
174	6639	40252
175	6662	40129
176	6699	40082
177	6726	39982
178	6755	39889
179	6818	40004
180	6853	39945
181	6875	39819
182	6893	39665
183	6912	39521
184	6942	39439
185	6962	39304
186	7045	39522
187	7084	39492
188	7110	39387
189	7136	39289
190	7159	39171
191	7228	39302
192	7268	39280
193	7287	39144
194	7306	39002
195	7405	39295
196	7489	39498
197	7530	39476
198	7567	39432
199	7597	39352
200	7629	39286
201	7723	39535
202	7778	39579
203	7804	39482
204	7846	39460
205	7880	39403
206	7992	39731
207	8051	39791
208	8091	39758
209	8113	39642
210	8138	39535
211	8163	39432
212	8194	39357
213	8324	39754
214	8359	39697
215	8423	39776
216	8467	39759
217	8503	39707
218	8546	39690
219	8579	39623
220	8647	39714
221	8696	39720
222	8726	39639
223	8773	39638
224	8819	39628
225	8840	39507
226	8916	39633
227	8956	39597
228	8977	39477
229	9008	39403
230	9025	39267
231	9047	39155
232	9297	40023
233	9369	40121
234	9515	40532
235	9547	40453
236	9571	40346
237	9593	40228
238	9664	40315
239	9683	40186
240	9705	40072
241	9733	39978
242	9757	39874
243	9779	39760
244	9884	39982
245	9918	39917
246	9955	39864
247	10015	39900
248	10114	40092
249	10169	40108
250	10282	40352
251	10329	40336
252	10359	40249
253	10398	40201
254	10428	40117
255	10445	39988
256	10511	40040
257	10538	39950
258	10558	39828
259	10576	39701
260	10603	39610
261	10627	39509
262	10646	39386
263	10715	39451
264	10743	39366
265	10777	39300
266	10829	39302
267	10907	39397
268	10967	39426
269	10993	39331
270	11023	39254
271	11040	39129
272	11058	39009
273	11125	39062
274	11150	38965
275	11171	38856
276	11188	38734
277	11219	38662
278	11233	38532
279	11247	38402
280	11260	38269
281	11309	38258
282	11324	38134
283	11338	38006
284	11359	37903
285	11379	37799
286	11399	37693
287	11412	37567
288	11431	37457
289	11484	37462
290	11509	37376
291	11543	37320
292	11559	37203
293	11600	37170
294	11616	37053
295	11631	36936
296	11683	36939
297	11727	36914
298	11754	36835
299	11768	36718
300	11789	36621
301	11811	36528
302	11830	36427
303	11901	36486
304	11915	36372
305	11940	36289
306	11963	36200
307	11986	36113
308	12005	36017
309	12055	36011
310	12087	35952
311	12103	35846
312	12117	35731
313	12128	35614
314	12142	35501
315	12162	35410
316	12192	35345
317	12210	35247
318	12249	35213
319	12275	35137
320	12290	35032
321	12307	34935
322	12321	34827
323	12336	34723
324	12349	34615
325	12364	34513
326	12381	34418
327	12439	34435
328	12464	34361
329	12497	34310
330	12512	34211
331	12529	34116
332	12544	34017
333	12560	33920
334	12624	33953
335	12642	33863
336	12673	33809
337	12688	33709
338	12705	33618
339	12718	33518
340	12731	33416
341	12745	33316
342	12760	33220
343	12827	33262
344	12841	33165
345	12855	33067
346	12873	32980
347	12892	32899
348	12907	32804
349	12927	32725
350	12944	32638
351	12957	32541
352	13005	32532
353	13021	32443
354	13041	32364
355	13056	32274
356	13073	32188
357	13089	32103
358	13102	32007
359	13115	31914
360	13130	31826
361	13204	31880
362	13232	31822
363	13250	31743
364	13272	31672
365	13294	31602
366	13315	31529
367	13330	31443
368	13384	31448
369	13418	31405
370	13436	31328
371	13465	31274
372	13483	31196
373	13496	31107
374	13509	31016
375	13573	31046
376	13590	30965
377	13604	30880
378	13623	30806
379	13637	30720
380	13652	30636
381	13669	30558
382	13681	30471
383	13695	30387
384	13708	30300
385	13779	30342
386	13805	30286
387	13825	30216
388	13844	30144
389	13859	30064
390	13874	29984
391	13887	29901
392	13912	29843
393	13984	29885
394	13997	29802
395	14010	29720
396	14026	29643
397	14056	29595
398	14085	29548
399	14102	29473
400	14189	29547
401	14209	29478
402	14223	29399
403	14238	29322
404	14252	29243
405	14265	29163
406	14285	29096
407	14300	29020
408	14314	28944
409	14370	28951
410	14387	28879
411	14411	28823
412	14425	28745
413	14438	28667
414	14459	28605
415	14475	28532
416	14489	28457
417	14501	28379
418	14562	28394
419	14579	28325
420	14593	28250
421	14618	28197
422	14634	28127
423	14647	28052
424	14664	27983
425	14679	27910
426	14691	27833
427	14735	27818
428	14756	27759
429	14771	27687
430	14799	27641
431	14818	27578
432	14835	27512
433	14855	27452
434	14872	27385
435	14931	27396
436	14946	27328
437	14960	27256
438	14973	27183
439	14986	27112
440	14999	27040
441	15015	26972
442	15029	26904
443	15042	26833
444	15074	26795
445	15119	26780
446	15133	26712
447	15150	26648
448	15167	26585
449	15181	26516
450	15194	26446
451	15209	26380
452	15227	26320
453	15241	26253
454	15289	26243
455	15302	26175
456	15315	26107
457	15333	26046
458	15346	25979
459	15361	25914
460	15385	25864
461	15413	25822
462	15495	25869
463	15563	25894
464	15595	25858
465	15620	25810
466	15686	25831
467	15731	25815
468	15761	25775
469	15796	25745
470	15827	25706
471	15854	25663
472	15909	25663
473	15934	25616
474	15951	25556
475	15968	25496
476	15983	25432
477	16008	25385
478	16029	25333
479	16047	25274
480	16108	25284
481	16127	25228
482	16148	25174
483	16163	25112
