iter	MultiClass
0	1.337186011
1	1.29464042
2	1.252657393
3	1.214706972
4	1.179566148
5	1.145922019
6	1.11302633
7	1.083657192
8	1.05362995
9	1.026268251
10	1.001267094
11	0.9776373631
12	0.9550495479
13	0.9313599215
14	0.9105937687
15	0.8889680672
16	0.8695242318
17	0.8501394275
18	0.8305469104
19	0.8132643245
20	0.7968045284
21	0.7805366485
22	0.7640631832
23	0.7493706006
24	0.7350293004
25	0.7215756336
26	0.7082616868
27	0.6939388604
28	0.6813223789
29	0.6682481572
30	0.6560036131
31	0.6438311061
32	0.6325833043
33	0.6213776182
34	0.6103949252
35	0.6002878373
36	0.5901954973
37	0.5807185477
38	0.5709679892
39	0.5613840893
40	0.552841585
41	0.5443020475
42	0.5361890083
43	0.5279563609
44	0.5193597368
45	0.5112542782
46	0.5034725358
47	0.4963454655
48	0.4888895151
49	0.4819054758
50	0.4749712155
51	0.4677814514
52	0.4611029493
53	0.4548774101
54	0.4484751784
55	0.4428468153
56	0.4370130448
57	0.4310020246
58	0.4255116712
59	0.4199351135
60	0.414655673
61	0.4086480804
62	0.4035199407
63	0.3984334762
64	0.3936606345
65	0.3887899906
66	0.3837587739
67	0.3788640819
68	0.3744442908
69	0.3698081018
70	0.3656104704
71	0.3611771414
72	0.3570131349
73	0.3529203697
74	0.34912999
75	0.3453694504
76	0.3418362916
77	0.3381586863
78	0.3345481247
79	0.3312810965
80	0.3280435381
81	0.3247786926
82	0.3214169359
83	0.3182012534
84	0.3149261255
85	0.3119716193
86	0.3090906099
87	0.3060793491
88	0.303000738
89	0.3000953127
90	0.2972866118
91	0.2946382526
92	0.291980704
93	0.2893034073
94	0.2867586474
95	0.2842096933
96	0.2818367966
97	0.2793231624
98	0.2769536896
99	0.2746207407
100	0.2723313149
101	0.2701813796
102	0.268051058
103	0.2658696243
104	0.2637913317
105	0.2616620224
106	0.2596992182
107	0.2576869116
108	0.2558497926
109	0.2538783277
110	0.2520378055
111	0.2501989626
112	0.2484134986
113	0.2467500951
114	0.2449591858
115	0.2432428695
116	0.2417795469
117	0.2401046148
118	0.2385596192
119	0.2372311609
120	0.2355648018
121	0.2342936238
122	0.2330393102
123	0.2319996231
124	0.230517925
125	0.2290512741
126	0.2275470136
127	0.2261447203
128	0.2250218482
129	0.2238460866
130	0.2224757027
131	0.2211097158
132	0.2200501499
133	0.2189824924
134	0.2179284272
135	0.2167118176
136	0.2154718362
137	0.2145589022
138	0.2135517912
139	0.2123526746
140	0.2112063895
141	0.2101146986
142	0.2092238978
143	0.2081555085
144	0.2071447148
145	0.2059655008
146	0.2049432064
147	0.2039026865
