iter	Passed	Remaining
0	61	75434
1	120	74530
2	141	58156
3	157	48417
4	168	41545
5	179	36775
6	192	33730
7	210	32296
8	223	30522
9	238	29269
10	255	28429
11	270	27599
12	286	26969
13	302	26367
14	315	25686
15	331	25244
16	343	24642
17	366	24773
18	379	24319
19	392	23885
20	407	23597
21	421	23286
22	435	22959
23	450	22725
24	464	22509
25	474	22088
26	486	21780
27	501	21627
28	515	21452
29	528	21255
30	538	20936
31	550	20712
32	565	20598
33	578	20453
34	592	20339
35	602	20083
36	614	19912
37	627	19783
38	644	19774
39	658	19693
40	673	19634
41	684	19447
42	697	19347
43	712	19314
44	727	19263
45	741	19171
46	751	19004
47	764	18923
48	776	18817
49	789	18723
50	799	18578
51	811	18468
52	824	18405
53	839	18377
54	851	18288
55	861	18155
56	874	18087
57	888	18052
58	905	18066
59	918	18002
60	928	17878
61	942	17848
62	957	17829
63	972	17803
64	986	17771
65	999	17710
66	1009	17605
67	1020	17537
68	1034	17499
69	1046	17439
70	1056	17331
71	1070	17300
72	1086	17312
73	1102	17306
74	1115	17268
75	1131	17267
76	1148	17292
77	1162	17260
78	1177	17242
79	1188	17176
80	1214	17315
81	1289	18153
82	1414	19649
83	1469	20153
84	1497	20279
85	1528	20438
86	1549	20467
87	1563	20398
88	1578	20340
89	1593	20291
90	1609	20252
91	1631	20287
92	1646	20231
93	1658	20153
94	1668	20040
95	1683	19995
96	1696	19925
97	1708	19844
98	1725	19814
99	1737	19737
100	1748	19653
101	1762	19592
102	1774	19520
103	1784	19418
104	1796	19355
105	1808	19283
106	1822	19230
107	1835	19166
108	1844	19074
109	1856	19006
110	1870	18961
111	1885	18921
112	1898	18867
113	1910	18805
114	1923	18752
115	1937	18708
116	1951	18662
117	1963	18605
118	1973	18524
119	1986	18471
120	1999	18423
121	2016	18414
122	2031	18379
123	2041	18303
124	2053	18253
125	2066	18209
126	2078	18151
127	2088	18079
128	2101	18036
129	2113	17977
130	2123	17912
131	2138	17882
132	2152	17848
133	2165	17810
134	2178	17764
135	2192	17735
136	2202	17671
137	2217	17641
138	2232	17620
139	2245	17576
140	2259	17548
141	2268	17479
142	2282	17442
143	2296	17413
144	2312	17398
145	2326	17370
146	2340	17337
147	2351	17289
148	2365	17254
149	2378	17220
150	2395	17212
151	2412	17202
152	2426	17175
153	2437	17126
154	2447	17071
155	2465	17069
156	2481	17054
157	2492	17004
158	2504	16967
159	2515	16916
160	2530	16894
161	2545	16875
162	2559	16847
163	2572	16817
164	2588	16803
165	2606	16801
166	2619	16770
167	2635	16752
168	2648	16720
169	2659	16679
170	2673	16648
171	2689	16636
172	2704	16616
173	2717	16589
174	2732	16566
175	2743	16525
176	2757	16498
177	2771	16470
178	2782	16433
179	2815	16517
180	2849	16610
181	2858	16555
182	2869	16512
183	2882	16478
184	2891	16427
185	2903	16388
186	2914	16348
187	2924	16305
188	2933	16253
189	2947	16226
190	2962	16207
191	2975	16180
192	2986	16136
193	2997	16101
194	3011	16075
195	3023	16040
196	3033	15999
197	3048	15981
198	3061	15954
199	3076	15933
200	3097	15948
201	3110	15923
202	3126	15908
203	3147	15923
204	3190	16043
205	3203	16015
206	3213	15975
207	3227	15953
208	3240	15925
209	3255	15904
210	3267	15874
211	3279	15842
212	3295	15826
213	3307	15794
214	3323	15780
215	3341	15777
216	3356	15763
217	3370	15739
218	3384	15715
219	3399	15697
220	3407	15651
221	3422	15632
222	3433	15598
223	3442	15552
224	3453	15516
225	3467	15496
226	3482	15478
227	3491	15434
228	3503	15405
229	3516	15378
230	3528	15350
231	3538	15313
232	3551	15288
233	3563	15258
234	3572	15216
235	3584	15188
236	3600	15175
237	3618	15174
238	3634	15160
239	3652	15158
240	3667	15143
241	3685	15139
242	3700	15123
243	3714	15103
244	3728	15081
245	3740	15052
246	3757	15045
247	3778	15054
248	3792	15031
249	3801	14993
250	3814	14967
251	3825	14936
252	3842	14927
253	3860	14925
254	3876	14913
255	3893	14904
256	3910	14896
257	3925	14881
258	3939	14859
259	3950	14828
260	3961	14798
261	3973	14773
262	3988	14756
263	4003	14740
264	4016	14717
265	4028	14691
266	4043	14674
267	4057	14655
268	4071	14636
269	4084	14612
270	4095	14582
271	4107	14558
272	4123	14545
273	4138	14528
274	4152	14511
275	4166	14492
276	4176	14459
277	4191	14444
278	4204	14423
279	4218	14402
280	4230	14376
281	4239	14341
282	4252	14321
283	4266	14302
284	4278	14277
285	4289	14246
286	4301	14224
287	4315	14203
288	4329	14187
289	4344	14171
290	4355	14144
291	4369	14125
292	4383	14106
293	4396	14087
294	4409	14066
295	4424	14051
296	4435	14024
297	4449	14005
298	4464	13989
299	4476	13966
300	4490	13947
301	4501	13921
302	4516	13906
303	4530	13890
304	4544	13870
305	4556	13849
306	4567	13821
307	4582	13807
308	4597	13792
309	4609	13769
310	4624	13753
311	4637	13734
312	4652	13720
313	4663	13692
314	4676	13674
315	4689	13653
316	4701	13629
317	4711	13601
318	4724	13581
319	4738	13564
320	4751	13543
321	4763	13521
322	4778	13505
323	4794	13494
324	4804	13466
325	4818	13449
326	4866	13528
327	4881	13513
328	4893	13490
329	4904	13465
330	4917	13446
331	4929	13422
332	4942	13403
333	4955	13382
334	4969	13364
335	4985	13355
336	4998	13335
337	5013	13320
338	5027	13302
339	5043	13290
340	5053	13263
341	5065	13241
342	5077	13220
343	5094	13209
344	5108	13193
345	5143	13231
346	5174	13256
347	5184	13228
348	5196	13207
349	5211	13191
350	5224	13173
351	5239	13158
352	5255	13145
353	5265	13119
354	5278	13099
355	5291	13081
356	5307	13067
357	5321	13050
358	5335	13033
359	5347	13011
360	5361	12994
361	5375	12978
362	5390	12963
363	5404	12946
364	5419	12931
365	5439	12929
366	5453	12914
367	5470	12903
368	5485	12887
369	5501	12876
370	5516	12860
371	5526	12835
372	5542	12822
373	5555	12804
374	5568	12785
375	5580	12763
376	5598	12756
377	5607	12728
378	5619	12706
379	5631	12685
380	5640	12658
381	5654	12640
382	5669	12626
383	5683	12610
384	5697	12593
385	5712	12578
386	5728	12567
387	5739	12543
388	5751	12522
389	5763	12502
390	5775	12482
391	5786	12457
392	5801	12443
393	5814	12425
394	5828	12408
395	5843	12395
396	5870	12406
397	5886	12394
398	5899	12375
399	5915	12363
400	5930	12348
401	5943	12330
402	5956	12312
403	5969	12293
404	5981	12273
405	5991	12249
406	6003	12228
407	6017	12212
408	6028	12188
