iter	Passed	Remaining
0	173	214244
1	182	112517
2	191	78884
3	198	61177
4	208	51228
5	214	43982
6	226	39680
7	232	35690
8	240	32824
9	247	30325
10	257	28665
11	263	26908
12	273	25758
13	280	24460
14	288	23513
15	295	22516
16	304	21865
17	311	21072
18	321	20569
19	327	19918
20	338	19576
21	349	19277
22	358	18918
23	368	18593
24	376	18219
25	385	17920
26	391	17552
27	401	17311
28	409	17064
29	419	16855
30	425	16544
31	435	16379
32	441	16102
33	450	15932
34	457	15683
35	472	15733
36	486	15754
37	500	15765
38	513	15749
39	521	15597
40	532	15511
41	538	15321
42	552	15315
43	561	15220
44	568	15058
45	579	14984
46	586	14834
47	596	14771
48	603	14618
49	615	14597
50	622	14462
51	629	14330
52	636	14197
53	644	14115
54	651	13986
55	659	13905
56	666	13784
57	675	13729
58	682	13616
59	694	13620
60	703	13551
61	710	13449
62	716	13346
63	725	13292
64	732	13196
65	741	13140
66	747	13045
67	757	13010
68	763	12920
69	774	12899
70	784	12866
71	793	12828
72	802	12783
73	808	12703
74	817	12661
75	827	12630
76	839	12636
77	846	12566
78	854	12520
79	861	12446
80	872	12441
81	882	12417
82	891	12385
83	901	12363
84	908	12300
85	917	12271
86	924	12206
87	933	12174
88	942	12141
89	951	12114
90	958	12056
91	967	12027
92	973	11969
93	987	11994
94	998	11996
95	1005	11940
96	1014	11910
97	1021	11860
98	1030	11834
99	1037	11780
100	1046	11754
101	1054	11727
102	1066	11726
103	1077	11728
104	1086	11702
105	1097	11701
106	1103	11648
107	1113	11628
108	1119	11579
109	1130	11574
110	1138	11538
111	1147	11517
112	1154	11474
113	1165	11469
114	1172	11428
115	1182	11416
116	1191	11394
117	1199	11366
118	1208	11344
119	1215	11303
120	1224	11279
121	1230	11237
122	1242	11241
123	1248	11200
124	1258	11181
125	1264	11138
126	1273	11118
127	1283	11107
128	1294	11105
129	1300	11066
130	1310	11054
131	1317	11016
132	1326	11001
133	1333	10964
134	1342	10949
135	1348	10910
136	1359	10905
137	1366	10871
138	1375	10855
139	1382	10820
140	1392	10813
141	1398	10778
142	1408	10765
143	1415	10731
144	1427	10737
145	1435	10718
146	1442	10687
147	1452	10680
148	1459	10647
