iter	Passed	Remaining
0	141	179059
1	143	90335
2	144	60746
3	148	46703
4	149	37690
5	150	31667
6	152	27360
7	154	24284
8	155	21767
9	157	19764
10	162	18524
11	163	17118
12	165	15926
13	167	14949
14	169	14112
15	171	13358
16	175	12871
17	177	12288
18	179	11770
19	181	11303
20	183	10881
21	185	10494
22	190	10271
23	192	9942
24	194	9652
25	195	9339
26	197	9049
27	198	8779
28	200	8529
29	203	8380
30	204	8159
31	206	7966
32	208	7773
33	209	7589
34	210	7414
35	212	7255
36	214	7103
37	218	7049
38	221	6952
39	223	6833
40	225	6725
41	227	6619
42	229	6512
43	233	6470
44	235	6375
45	238	6308
46	239	6205
47	240	6110
48	242	6014
49	246	5984
50	247	5901
51	252	5881
52	253	5798
53	254	5717
54	256	5638
55	257	5563
56	259	5502
57	261	5431
58	262	5362
59	263	5297
60	265	5234
61	266	5171
62	268	5118
63	269	5060
64	274	5065
65	275	5011
66	277	4957
67	278	4905
68	280	4853
69	281	4808
70	283	4773
71	285	4736
72	287	4701
73	291	4691
74	295	4694
75	304	4757
76	306	4722
77	308	4688
78	309	4651
79	311	4609
80	312	4568
81	317	4584
82	320	4564
83	322	4532
84	323	4495
85	325	4456
86	326	4421
87	327	4386
88	331	4382
89	333	4347
90	334	4313
91	335	4281
92	337	4248
93	338	4217
94	339	4186
95	341	4156
96	342	4128
97	346	4127
98	348	4109
99	350	4080
100	352	4063
101	355	4050
102	356	4023
103	358	3997
104	366	4044
105	368	4025
106	371	4015
107	373	4000
108	378	4010
109	383	4025
110	385	4009
111	387	3990
112	389	3971
113	394	3979
114	396	3961
115	398	3942
116	399	3924
117	436	4246
118	439	4228
119	448	4279
120	450	4260
121	453	4249
122	460	4278
123	482	4436
124	484	4414
125	491	4442
126	493	4421
127	495	4401
128	497	4380
129	499	4358
130	501	4338
131	513	4405
132	515	4386
133	517	4368
134	530	4444
135	533	4427
136	535	4407
137	546	4462
138	548	4442
139	549	4418
140	554	4419
141	556	4401
142	559	4389
143	561	4374
144	563	4351
145	564	4329
146	566	4306
147	570	4306
148	571	4284
149	573	4261
150	574	4239
151	576	4218
152	577	4196
153	578	4175
154	580	4156
155	585	4163
156	590	4167
157	592	4151
158	595	4140
159	597	4129
160	600	4117
161	603	4108
162	611	4130
163	616	4136
164	618	4123
165	622	4117
166	625	4110
167	627	4095
168	629	4079
169	630	4063
170	633	4052
171	636	4047
172	638	4032
173	642	4027
174	645	4020
175	647	4007
176	652	4008
177	653	3993
178	655	3976
179	669	4033
180	670	4015
181	671	3997
182	673	3982
183	675	3969
184	676	3951
185	678	3933
186	679	3916
187	683	3914
188	684	3898
189	686	3882
190	687	3868
191	690	3856
192	691	3842
193	693	3827
194	694	3811
195	698	3810
196	699	3794
197	701	3780
198	703	3768
199	706	3762
200	707	3747
201	709	3732
202	713	3730
203	714	3716
204	716	3703
205	718	3691
206	719	3676
207	720	3663
208	722	3649
209	723	3635
210	725	3621
211	727	3613
212	728	3599
213	730	3585
214	733	3581
215	734	3568
216	736	3556
217	737	3543
218	739	3530
219	741	3519
220	742	3507
221	744	3498
222	745	3485
223	747	3472
