iter	Passed	Remaining
0	4	3925
1	11	5559
2	14	4670
3	17	4138
4	18	3668
5	21	3380
6	25	3532
7	27	3310
8	29	3199
9	31	3043
10	33	2910
11	35	2820
12	39	2896
13	41	2810
14	43	2743
15	44	2663
16	46	2613
17	48	2563
18	50	2520
19	53	2564
20	55	2528
21	58	2523
22	60	2493
23	62	2461
24	64	2426
25	67	2447
26	69	2429
27	72	2428
28	74	2414
29	76	2390
30	78	2367
31	79	2344
32	83	2375
33	86	2397
34	88	2380
35	90	2361
36	92	2344
37	94	2331
38	97	2331
39	99	2309
40	100	2289
41	102	2273
42	104	2261
43	106	2251
44	110	2269
45	112	2262
46	114	2248
47	116	2237
48	118	2223
49	119	2207
50	121	2194
51	129	2295
52	132	2291
53	134	2282
54	136	2271
55	141	2309
56	143	2298
57	146	2307
58	149	2314
59	157	2389
60	160	2391
61	163	2400
62	167	2413
63	172	2446
64	176	2465
65	178	2453
66	181	2442
67	183	2437
68	190	2494
69	193	2484
70	195	2472
71	196	2455
72	198	2440
73	201	2448
74	203	2436
75	205	2422
76	207	2409
77	209	2395
78	210	2380
79	213	2375
80	221	2438
81	225	2441
82	236	2528
83	239	2524
84	241	2513
85	242	2499
86	244	2486
87	248	2492
88	250	2480
89	252	2467
90	253	2452
91	256	2446
92	258	2440
93	262	2447
94	264	2436
95	266	2425
96	268	2418
97	271	2419
98	273	2410
99	276	2410
100	279	2405
101	281	2398
102	283	2389
103	285	2379
104	291	2407
105	294	2402
106	296	2394
107	298	2385
108	303	2399
109	305	2393
110	307	2381
111	308	2369
112	310	2358
113	312	2346
114	314	2337
115	318	2348
116	320	2338
117	322	2329
118	324	2320
119	326	2312
120	328	2305
121	331	2308
122	333	2302
123	336	2295
124	338	2288
125	340	2282
126	342	2276
127	344	2269
128	348	2277
129	351	2276
130	353	2269
131	355	2262
132	358	2258
133	363	2270
134	365	2263
135	367	2255
136	369	2248
137	371	2242
138	374	2239
139	378	2247
140	380	2240
141	382	2233
142	384	2225
143	387	2225
144	393	2239
145	395	2236
146	397	2230
147	399	2223
148	402	2219
149	404	2213
150	410	2231
151	414	2231
152	415	2224
153	420	2233
154	423	2229
155	425	2222
156	428	2221
157	430	2217
158	435	2225
159	437	2218
160	439	2213
161	442	2208
162	444	2201
163	445	2194
164	450	2201
165	452	2195
166	454	2189
167	456	2180
168	457	2172
169	459	2165
170	461	2158
171	465	2161
172	467	2154
173	469	2151
174	472	2148
175	474	2142
176	476	2135
177	479	2136
178	481	2129
179	483	2124
180	485	2120
181	487	2115
182	490	2111
183	494	2115
184	496	2109
185	499	2109
186	504	2114
187	509	2122
188	515	2133
189	518	2131
190	521	2131
191	527	2141
192	530	2139
193	532	2132
194	541	2153
195	543	2147
196	545	2142
197	547	2137
198	549	2132
199	551	2126
200	556	2133
201	558	2126
202	560	2120
203	562	2114
204	564	2107
205	566	2102
206	571	2110
207	576	2115
208	579	2111
209	580	2105
210	585	2108
211	587	2104
212	590	2099
213	591	2093
214	594	2089
215	596	2083
216	601	2089
217	603	2084
218	605	2078
219	607	2072
220	608	2066
221	610	2061
222	614	2061
223	617	2058
224	619	2054
225	621	2048
226	623	2042
227	624	2036
228	630	2044
229	633	2041
230	635	2036
231	637	2031
232	639	2026
233	642	2022
234	647	2026
235	649	2023
236	651	2017
237	653	2011
238	656	2011
239	665	2026
240	667	2021
241	671	2022
242	673	2016
243	677	2018
244	679	2012
245	681	2007
246	683	2002
247	685	1998
248	687	1993
249	691	1994
250	694	1991
251	696	1986
252	698	1981
253	700	1976
254	702	1971
255	705	1970
256	707	1966
257	709	1960
258	711	1956
259	714	1954
260	717	1951
261	722	1954
262	724	1950
263	726	1946
264	728	1941
265	730	1937
266	735	1938
267	737	1934
268	739	1929
269	741	1924
270	743	1919
271	744	1914
272	746	1909
273	750	1909
274	752	1904
275	754	1900
276	756	1895
277	758	1891
278	760	1886
279	762	1881
280	766	1881
281	768	1876
282	770	1872
283	772	1867
284	774	1863
285	776	1859
286	780	1860
287	783	1857
288	785	1853
289	787	1849
290	789	1844
291	791	1841
292	795	1841
293	798	1839
294	802	1839
295	805	1836
296	810	1840
297	813	1838
298	816	1835
299	820	1834
300	827	1842
301	832	1844
302	834	1839
303	836	1835
304	838	1830
305	840	1826
306	842	1822
307	844	1817
308	846	1813
309	849	1810
310	855	1815
311	857	1810
312	859	1806
313	861	1801
314	863	1798
315	886	1838
316	905	1867
317	908	1865
318	911	1863
319	915	1862
320	921	1865
321	924	1863
322	929	1865
323	947	1891
324	952	1893
325	955	1890
326	959	1889
327	962	1887
328	967	1888
329	970	1885
330	974	1883
331	976	1880
332	985	1888
333	989	1886
334	992	1884
335	996	1884
336	1002	1886
337	1008	1888
338	1014	1892
339	1019	1891
340	1023	1890
341	1028	1891
342	1031	1888
343	1034	1885
344	1037	1882
345	1042	1883
346	1045	1879
347	1048	1877
348	1051	1874
349	1060	1881
350	1066	1883
351	1069	1880
352	1074	1880
353	1079	1881
354	1085	1883
355	1088	1880
356	1091	1877
357	1096	1878
358	1103	1880
359	1105	1875
360	1106	1870
361	1108	1865
362	1111	1860
363	1113	1856
364	1119	1858
365	1121	1853
366	1123	1849
367	1126	1845
368	1128	1841
369	1131	1837
370	1133	1832
371	1135	1828
372	1137	1823
373	1139	1819
374	1145	1821
375	1149	1818
376	1151	1814
377	1154	1810
378	1156	1805
379	1161	1806
380	1163	1802
381	1166	1799
382	1170	1796
383	1176	1797
384	1178	1794
385	1181	1791
386	1184	1788
387	1190	1789
388	1193	1786
389	1246	1856
390	1249	1852
391	1261	1862
392	1264	1859
393	1267	1856
394	1271	1854
395	1276	1853
396	1282	1854
397	1286	1852
398	1340	1922
399	1344	1919
400	1347	1915
401	1351	1912
402	1355	1909
403	1357	1905
404	1360	1901
405	1363	1897
406	1366	1893
407	1406	1940
408	1409	1936
409	1412	1932
410	1429	1947
411	1432	1943
412	1436	1941
413	1440	1937
414	1443	1933
415	1446	1929
416	1449	1925
417	1454	1924
418	1457	1920
419	1460	1916
420	1463	1912
421	1466	1907
422	1471	1905
423	1474	1902
424	1477	1897
425	1480	1893
426	1484	1891
427	1487	1887
428	1490	1883
429	1493	1878
430	1496	1874
431	1501	1873
432	1504	1869
433	1507	1865
434	1510	1861
435	1515	1859
436	1527	1867
437	1532	1864
438	1535	1860
439	1539	1857
440	1547	1859
441	1550	1855
442	1552	1850
443	1554	1845
444	1558	1842
445	1565	1842
446	1567	1837
447	1569	1831
448	1571	1826
449	1573	1821
450	1577	1818
451	1579	1813
452	1581	1808
453	1582	1802
454	1585	1797
455	1587	1792
456	1589	1787
457	1594	1785
458	1597	1781
459	1600	1778
460	1602	1773
461	1604	1768
462	1607	1763
463	1609	1758
464	1611	1753
465	1614	1749
466	1616	1744
467	1618	1739
468	1621	1735
469	1623	1730
470	1625	1725
471	1627	1720
472	1628	1715
473	1630	1709
474	1632	1704
475	1635	1701
476	1637	1696
477	1641	1692
478	1644	1689
479	1646	1684
480	1650	1680
481	1652	1676
482	1654	1671
483	1669	1679
484	1673	1676
485	1678	1675
486	1682	1671
487	1685	1668
488	1690	1665
489	1711	1679
490	1714	1676
491	1718	1672
492	1722	1670
493	1728	1668
494	1733	1666
495	1736	1662
496	1740	1660
497	1744	1656
498	1746	1652
499	1756	1654
500	1759	1650
501	1762	1646
502	1766	1643
503	1769	1639
504	1773	1636
505	1777	1633
506	1780	1629
507	1783	1625
508	1796	1630
509	1799	1626
510	1804	1623
511	1807	1620
512	1811	1616
513	1815	1613
514	1819	1611
515	1822	1607
516	1826	1603
517	1829	1599
518	1840	1602
519	1845	1600
520	1848	1596
521	1852	1593
522	1856	1589
523	1859	1586
524	1879	1596
525	1888	1597
526	1892	1594
527	1899	1593
528	1903	1590
529	1906	1586
530	1908	1581
531	1917	1582
532	1921	1579
533	1927	1577
534	1931	1573
535	1934	1570
536	1937	1566
537	1945	1565
538	1949	1562
539	1952	1558
540	1964	1561
541	1967	1557
542	1970	1553
543	1983	1556
544	1989	1554
545	1992	1551
546	1994	1546
547	1996	1540
548	1998	1535
549	1999	1530
550	2005	1528
551	2008	1524
552	2009	1519
553	2011	1514
554	2013	1509
555	2017	1506
556	2021	1502
557	2024	1498
558	2026	1493
559	2028	1488
560	2031	1484
561	2036	1482
562	2038	1477
563	2040	1472
564	2043	1468
565	2049	1466
566	2051	1462
567	2053	1457
568	2056	1452
569	2062	1450
570	2064	1446
571	2067	1441
572	2069	1437
573	2072	1433
574	2080	1432
575	2087	1431
576	2092	1428
577	2095	1425
578	2103	1424
579	2109	1422
580	2113	1418
581	2132	1425
582	2135	1421
583	2145	1421
584	2160	1425
585	2163	1421
586	2173	1421
587	2176	1418
588	2192	1422
589	2197	1419
590	2200	1414
591	2204	1411
592	2216	1412
593	2243	1424
594	2250	1422
595	2253	1418
596	2264	1418
597	2268	1414
598	2271	1410
599	2274	1406
600	2285	1406
601	2288	1402
602	2333	1423
603	2336	1419
604	2347	1420
605	2350	1415
606	2353	1411
607	2358	1408
608	2365	1405
609	2371	1403
610	2384	1405
611	2390	1401
612	2394	1398
613	2397	1394
614	2400	1389
615	2408	1388
616	2415	1386
617	2430	1388
618	2432	1383
619	2437	1379
620	2441	1375
621	2444	1371
622	2448	1367
623	2451	1363
624	2454	1359
625	2457	1354
626	2498	1370
627	2501	1366
628	2506	1362
629	2510	1358
630	2513	1354
631	2516	1350
632	2519	1345
633	2534	1346
634	2538	1343
635	2578	1358
636	2581	1353
637	2587	1350
638	2591	1346
639	2631	1360
640	2635	1356
641	2639	1352
642	2641	1347
643	2644	1342
644	2650	1339
645	2657	1336
646	2660	1332
647	2663	1327
648	2697	1338
649	2701	1334
650	2706	1330
651	2709	1325
652	2712	1320
653	2716	1316
654	2720	1312
655	2724	1308
656	2756	1317
657	2773	1319
658	2780	1316
659	2785	1312
660	2789	1308
661	2793	1303
662	2796	1299
663	2799	1294
664	2803	1289
665	2826	1294
666	2829	1289
667	2832	1284
668	2837	1280
669	2842	1277
670	2848	1273
671	2851	1268
672	2856	1264
673	2859	1259
674	2876	1261
675	2878	1256
676	2884	1252
677	2889	1248
678	2892	1244
679	2896	1239
680	2900	1235
681	2904	1230
682	2907	1225
683	2910	1221
684	2913	1216
685	2921	1213
686	2923	1208
687	2927	1204
688	2929	1199
689	2938	1196
690	2940	1191
691	2944	1187
692	2949	1183
693	2952	1178
694	2955	1173
695	2962	1170
696	2968	1166
697	2971	1162
698	2973	1157
699	2976	1152
700	2977	1146
701	2982	1142
702	2985	1138
703	2987	1133
704	2989	1128
705	2991	1123
706	2995	1118
707	2997	1113
708	2999	1108
709	3002	1103
710	3004	1098
711	3005	1093
712	3007	1088
713	3011	1084
714	3015	1079
715	3018	1074
716	3021	1070
717	3026	1066
718	3030	1062
719	3033	1057
720	3036	1053
721	3081	1062
722	3105	1065
723	3110	1061
724	3113	1056
725	3116	1051
726	3120	1047
727	3123	1042
728	3127	1038
729	3130	1033
730	3145	1032
731	3149	1028
732	3153	1023
733	3156	1019
734	3159	1014
735	3162	1009
736	3167	1005
737	3170	1001
738	3174	996
739	3177	991
740	3184	988
741	3187	983
742	3191	979
743	3198	975
744	3201	971
745	3204	966
746	3207	961
747	3210	957
748	3216	953
749	3219	948
750	3222	944
751	3245	945
752	3248	940
753	3251	935
754	3254	931
755	3258	926
756	3261	922
757	3265	917
758	3268	912
759	3271	908
760	3279	905
761	3300	905
762	3303	900
763	3308	896
764	3311	891
765	3314	887
766	3319	882
767	3325	879
768	3330	874
769	3334	870
770	3462	898
771	3466	893
772	3470	888
773	3478	885
774	3480	880
775	3483	875
776	3486	870
777	3493	866
778	3496	861
779	3593	879
780	3596	874
781	3609	872
782	3613	867
783	3616	862
784	3620	857
785	3623	852
786	3704	866
787	3707	861
788	3710	855
789	3725	853
790	3728	848
791	3731	843
792	3736	838
793	3739	833
794	3778	836
795	3781	831
796	3784	826
797	3789	821
798	3793	816
799	3798	811
800	3801	806
801	3804	801
802	3806	796
803	3809	791
804	3855	795
805	3860	790
806	3865	785
807	3869	780
808	3882	777
809	3893	773
810	3896	768
811	3899	763
812	3911	760
813	3914	754
814	3917	749
815	3920	744
816	3923	739
817	3926	734
818	3929	729
819	3932	724
820	3937	719
821	3979	721
822	3982	716
823	3988	711
824	3991	706
825	3994	701
826	3997	696
827	4002	691
828	4006	686
829	4009	681
830	4012	675
831	4019	671
832	4022	666
833	4025	661
834	4033	657
835	4036	651
836	4039	646
837	4107	651
838	4110	646
839	4116	641
840	4120	636
841	4124	631
842	4129	627
843	4132	621
844	4136	616
845	4148	612
846	4200	614
847	4202	609
848	4206	604
849	4214	599
850	4217	594
851	4220	589
852	4223	584
853	4228	579
854	4231	574
855	4247	570
856	4250	565
857	4253	560
858	4257	555
859	4260	549
860	4264	544
861	4275	540
862	4280	535
863	4287	530
864	4301	527
865	4305	521
866	4315	517
867	4318	512
868	4321	507
869	4324	502
870	4331	497
871	4334	492
872	4337	486
873	4352	483
874	4355	477
875	4360	472
876	4363	467
877	4367	462
878	4370	457
879	4377	452
880	4382	447
881	4385	442
882	4392	437
883	4396	432
884	4398	427
885	4400	422
886	4402	416
887	4407	411
888	4409	406
889	4411	401
890	4413	396
891	4415	391
892	4420	386
893	4425	381
894	4427	375
895	4430	370
896	4433	365
897	4437	360
898	4442	355
899	4449	350
900	4466	346
901	4469	341
902	4482	337
903	4505	333
904	4508	328
905	4515	323
906	4521	319
907	4528	314
908	4532	309
909	4535	304
910	4537	298
911	4539	293
912	4544	288
913	4546	283
914	4548	278
915	4550	273
916	4551	268
917	4554	262
918	4557	257
919	4559	252
920	4561	247
921	4563	242
922	4565	237
923	4567	232
924	4569	227
925	4574	222
926	4576	217
927	4578	212
928	4580	207
929	4582	202
930	4584	196
931	4589	192
932	4591	187
933	4593	181
934	4598	177
935	4603	172
936	4606	167
937	4610	162
938	4612	157
939	4615	152
940	4622	147
941	4626	142
942	4633	137
943	4636	132
944	4641	127
945	4645	122
946	4650	117
947	4653	112
948	4658	107
949	4661	103
950	4665	98
951	4668	93
952	4671	88
953	4674	83
954	4680	78
955	4684	73
956	4687	68
957	4717	64
958	4729	59
959	4736	54
960	4739	49
961	4743	44
962	4756	39
963	4760	34
964	4767	29
965	4768	24
966	4774	19
967	4776	14
968	4777	9
969	4779	4
970	4780	0
