iter	RMSE
0	260.9249086
1	254.7132715
2	247.9224266
3	241.4426504
4	234.9282076
5	227.8984903
6	222.6377557
7	216.150543
8	211.1834642
9	205.9135199
10	200.3766595
11	195.3652866
12	190.5165551
13	185.8126465
14	180.6923423
15	176.2982993
16	171.2540599
17	166.9952553
18	162.7176742
19	158.7230182
20	154.4157119
21	150.9626767
22	146.8280183
23	143.6597551
24	140.026762
25	136.2193237
26	132.8879641
27	129.7299189
28	126.7577594
29	124.0543298
30	120.8946312
31	118.233551
32	115.293114
33	112.5714062
34	110.1733878
35	107.6725481
36	105.2735064
37	102.9791171
38	100.7919294
39	98.68783315
40	96.94323366
41	94.79667528
42	93.105771
43	91.04414855
44	89.04999335
45	87.1483099
46	85.26686024
47	83.71900295
48	81.86197317
49	79.99814031
50	78.10946546
51	76.58315511
52	74.82417887
53	73.11550968
54	71.38732274
55	69.99585987
56	68.69886189
57	67.16694695
58	65.78107077
59	64.31821079
60	63.2040311
61	61.85258959
62	60.73716575
63	59.53741723
64	58.25980489
65	57.11041467
66	56.04177224
67	54.95880836
68	54.1542205
69	53.29943442
70	52.48630387
71	51.38995752
72	50.35262461
73	49.36721428
74	48.75030412
75	47.93550306
76	46.99501541
77	46.17266889
78	45.34308925
79	44.5053136
80	43.66158816
81	43.00370741
82	42.12778026
83	41.41017377
84	40.72680385
85	39.99861033
86	39.53224061
87	38.85744853
88	38.27379169
89	37.70669568
90	37.1766908
91	36.57588362
92	36.0948587
93	35.52051508
94	34.94572362
95	34.4296026
96	34.00732553
97	33.47094388
98	32.93924545
99	32.42147851
100	31.91291778
101	31.45048168
102	30.96807668
103	30.4719427
104	30.14475279
105	29.80423866
106	29.41414538
107	29.05000027
108	28.76822037
109	28.42225685
110	27.99478107
111	27.60896295
112	27.32103895
113	27.00976155
114	26.60690101
115	26.38525731
116	26.12622986
117	25.88005947
118	25.56407702
119	25.29381351
120	24.98560824
121	24.70859054
122	24.40150759
123	24.16761914
124	23.876665
125	23.62450457
126	23.39835213
127	23.16049555
128	22.94756215
129	22.70144348
130	22.46294051
131	22.24368832
132	22.03008483
133	21.88016955
134	21.70753507
135	21.52253731
136	21.3646054
137	21.15648234
138	20.96549855
139	20.74114024
140	20.6163413
141	20.44574418
142	20.21666642
143	19.98748591
144	19.85267545
145	19.67789858
146	19.50135004
147	19.3574916
148	19.17086301
149	18.99656267
150	18.87477638
151	18.78183573
152	18.61935366
153	18.49053504
154	18.33887729
155	18.18370852
156	18.03211214
157	17.81657851
158	17.62151203
159	17.4874983
160	17.36681066
161	17.2296989
162	17.10174763
163	16.98152542
164	16.79572055
165	16.68120834
166	16.58698357
167	16.48014982
168	16.35521438
169	16.22166557
170	16.12999614
171	16.04542069
172	15.95781981
173	15.83914867
174	15.74052732
175	15.63236597
176	15.53522203
177	15.44805025
178	15.31700599
179	15.22781004
180	15.1447654
181	15.0502237
182	14.97001067
183	14.85214777
184	14.69765281
185	14.62272122
186	14.54330547
187	14.42612688
188	14.34307869
189	14.27018557
190	14.13690943
191	14.02487319
192	13.95912615
193	13.89071436
194	13.82103616
195	13.77216131
196	13.6845308
197	13.62210222
198	13.56111581
199	13.46139895
200	13.39809833
201	13.34048373
202	13.21443383
203	13.16705413
204	13.11202959
205	13.05737857
206	13.0094191
207	12.92022382
208	12.87680311
209	12.7540982
210	12.63495401
211	12.56424316
212	12.46381601
213	12.35037553
214	12.31253704
215	12.23977693
216	12.16023112
217	12.11721049
218	12.04483365
219	11.9954282
220	11.95194036
221	11.85650358
222	11.82191514
223	11.78408163
224	11.69140374
225	11.61806341
226	11.58138562
227	11.54990631
228	11.44468645
229	11.40544225
230	11.32546729
231	11.25985777
232	11.22495357
233	11.1916166
234	11.13112144
235	11.03470633
236	10.99427618
237	10.91653944
238	10.87951344
239	10.81747161
240	10.75065054
241	10.69744794
242	10.64464533
243	10.6083192
244	10.56135235
245	10.53009116
246	10.44449863
247	10.36145516
248	10.28263057
249	10.25551191
250	10.22712265
251	10.18543727
252	10.11523425
253	10.08094443
254	10.01263746
255	9.979948
256	9.913476275
257	9.893877489
258	9.867477695
259	9.82517544
260	9.800263176
261	9.760476877
262	9.721463945
263	9.674267746
264	9.653027374
265	9.633205089
266	9.596138813
267	9.578871831
268	9.546945319
269	9.50658297
270	9.473754244
271	9.457309616
272	9.44162954
273	9.410451978
274	9.370093766
275	9.345260299
276	9.288451685
277	9.256002768
278	9.233901861
279	9.193498682
280	9.163805347
281	9.136134188
282	9.103154575
283	9.064609221
284	9.036693664
285	9.010245356
286	8.982689975
287	8.961195426
288	8.933631799
289	8.898808289
290	8.866905647
291	8.84080833
292	8.813654928
293	8.784879433
294	8.76503718
295	8.720960346
296	8.696046142
297	8.667191595
298	8.640628639
299	8.61960729
300	8.601119931
301	8.579971653
302	8.559344573
303	8.530723803
304	8.506416691
305	8.495667063
306	8.480675087
307	8.455687524
308	8.431964597
309	8.408371318
310	8.378771269
311	8.344121695
312	8.323037016
313	8.302733677
314	8.282547854
315	8.264570769
316	8.237640162
317	8.205008049
318	8.190819265
319	8.174927203
320	8.154931159
321	8.128455912
322	8.112462645
323	8.089245371
324	8.071778171
325	8.058708917
326	8.035321279
327	8.009684538
328	7.990095624
329	7.969378949
330	7.959954279
331	7.940460987
332	7.925071769
333	7.907228396
334	7.887551362
335	7.867761657
336	7.84583014
337	7.827091979
338	7.813028945
339	7.787269275
340	7.768220174
341	7.74818118
342	7.732373243
343	7.712203856
344	7.68814673
345	7.673254118
346	7.662073285
347	7.637177908
348	7.623254326
349	7.605568893
350	7.593902231
351	7.572701776
352	7.551744009
353	7.531963384
354	7.516211159
355	7.499711171
356	7.482929597
357	7.465613402
358	7.444774595
359	7.432010617
360	7.416315862
361	7.396791629
362	7.375059403
363	7.359915788
364	7.357748335
365	7.341785004
366	7.32716258
367	7.30951656
368	7.307425504
369	7.292835528
370	7.279391516
371	7.259058535
372	7.245133475
373	7.243099658
374	7.226743122
375	7.20941861
376	7.191232352
377	7.189248195
378	7.176547048
379	7.156703735
380	7.145743921
381	7.143839507
382	7.141088687
383	7.124213342
384	7.11253627
385	7.100907808
386	7.090300571
387	7.088491463
388	7.086722221
389	7.076675619
390	7.074948925
391	7.057312314
392	7.045691267
393	7.034862608
394	7.020728652
395	7.019037326
396	7.001406513
397	6.988445882
398	6.97601409
399	6.958317923
400	6.947546954
401	6.934017882
402	6.932372055
403	6.913462117
404	6.897444702
405	6.887304279
406	6.872480411
407	6.870918674
408	6.85343409
409	6.85100436
410	6.836522747
411	6.81647617
412	6.801605478
413	6.79393612
414	6.783284561
415	6.781799607
416	6.780347272
417	6.76937093
418	6.753212686
419	6.739644711
420	6.726438807
421	6.725023407
422	6.713405294
423	6.700943778
424	6.684891751
425	6.683503985
426	6.682146672
427	6.666226527
428	6.647773241
429	6.646443297
430	6.635650164
431	6.625380436
432	6.611171883
433	6.599317771
434	6.587175968
435	6.585605705
436	6.583572395
437	6.571128732
438	6.561592894
439	6.544397914
440	6.53376789
441	6.520635777
442	6.519403842
443	6.507237513
444	6.4936277
445	6.482331406
446	6.467173695
447	6.454105579
448	6.452892891
449	6.439754394
450	6.430070768
451	6.416694704
452	6.406600117
453	6.392044604
454	6.381618242
455	6.37261755
456	6.371164324
457	6.369331233
458	6.358000617
459	6.345291273
460	6.33389594
461	6.324990619
462	6.309978091
463	6.298558173
464	6.286078219
465	6.278460776
466	6.277338988
467	6.26483633
468	6.250684088
469	6.242001675
470	6.228377094
471	6.227293158
472	6.214138062
473	6.202176061
474	6.191242184
475	6.178827134
476	6.167771338
477	6.156005645
478	6.154956579
479	6.141615478
480	6.135203645
481	6.12469983
482	6.123685414
483	6.114308543
484	6.1030868
485	6.102095975
486	6.093209336
487	6.08350195
488	6.074603771
489	6.073037073
490	6.067455604
491	6.059738854
492	6.050150397
493	6.039427565
494	6.02908959
495	6.027581795
496	6.019118793
497	6.013917767
498	6.012979657
499	6.005013501
500	5.99427154
501	5.98260726
502	5.974670323
503	5.973744996
504	5.962559066
505	5.954642546
506	5.94472655
507	5.943446847
508	5.934080256
509	5.92563935
510	5.924269476
511	5.9082483
512	5.898699837
513	5.888691833
514	5.87427977
515	5.869273178
516	5.868408089
517	5.867215086
518	5.862035218
519	5.85405199
520	5.846468796
521	5.841932088
522	5.829359551
523	5.819948531
524	5.811656599
525	5.801571516
526	5.788243696
527	5.780452225
528	5.770271787
529	5.762695395
530	5.752767252
531	5.751130657
532	5.743223321
533	5.735342917
534	5.726157818
535	5.715717061
536	5.70149978
537	5.700284935
538	5.689277781
539	5.6823729
540	5.675240176
541	5.674467425
542	5.667889718
543	5.659113808
544	5.65758613
545	5.656846583
546	5.645554883
547	5.635255529
548	5.626316659
549	5.618452299
550	5.610176051
551	5.609452414
552	5.602620833
553	5.594863176
554	5.589718
555	5.581993986
556	5.575405228
557	5.566299084
558	5.558297961
559	5.551491732
560	5.540510829
561	5.531494334
562	5.523335351
563	5.519439309
564	5.511422821
565	5.50901913
566	5.501679228
567	5.492095469
568	5.481657108
569	5.472149811
570	5.463654216
571	5.455479127
572	5.445590956
573	5.435232731
574	5.423124797
575	5.412882109
576	5.40515888
577	5.398997594
578	5.391397761
579	5.38225271
580	5.372905204
581	5.364687288
582	5.360081667
583	5.349914925
584	5.342798942
585	5.336677598
586	5.327203183
587	5.319852395
588	5.310980621
589	5.306169932
590	5.29801355
591	5.292167797
592	5.285549685
593	5.280217173
594	5.273290755
595	5.267204259
596	5.261910866
597	5.254748356
598	5.251777427
599	5.24453201
600	5.243661919
601	5.236228092
602	5.229067927
603	5.221271051
604	5.21418802
605	5.203076978
606	5.194035209
607	5.187080469
608	5.178798077
609	5.171743455
610	5.166065423
611	5.16470776
612	5.156331054
613	5.146720377
614	5.142959468
615	5.137151385
616	5.129358029
617	5.122750748
618	5.116196642
619	5.108678041
620	5.103538611
621	5.102892417
622	5.10202866
623	5.098143371
624	5.090081039
625	5.083155496
626	5.074087228
627	5.066950003
628	5.061989579
629	5.054735692
630	5.053482666
631	5.047400348
632	5.041079883
633	5.036061661
634	5.030330634
