iter	Passed	Remaining
0	2	3576
1	5	3228
2	7	3050
3	9	2907
4	11	2798
5	13	2760
6	15	2767
7	17	2719
8	19	2729
9	21	2698
10	23	2688
11	25	2659
12	27	2640
13	30	2701
14	32	2742
15	34	2723
16	36	2700
17	38	2679
18	40	2658
19	42	2641
20	44	2661
21	46	2644
22	66	3602
23	69	3609
24	73	3636
25	81	3866
26	83	3821
27	86	3807
28	90	3877
29	94	3888
30	97	3880
31	105	4072
32	107	4028
33	111	4020
34	112	3970
35	114	3925
36	122	4052
37	125	4038
38	129	4057
39	187	5753
40	190	5693
41	194	5670
42	201	5717
43	208	5775
44	210	5699
45	212	5638
46	218	5666
47	222	5634
48	224	5561
49	225	5491
50	227	5423
51	231	5399
52	253	5796
53	255	5727
54	257	5659
55	259	5600
56	265	5634
57	267	5575
58	270	5519
59	272	5464
60	274	5410
61	276	5355
62	279	5326
63	281	5286
64	283	5240
65	286	5206
66	318	5696
67	320	5648
68	324	5632
69	327	5597
70	329	5548
71	332	5503
72	334	5458
73	336	5414
74	339	5388
75	345	5401
76	349	5389
77	380	5792
78	384	5770
79	386	5721
80	390	5702
81	393	5672
82	403	5744
83	406	5720
84	409	5682
85	412	5658
86	420	5695
87	422	5654
88	426	5629
89	427	5586
90	434	5602
91	435	5556
92	437	5510
93	438	5466
94	440	5419
95	441	5375
96	442	5333
97	449	5347
98	450	5308
99	452	5267
100	453	5226
101	454	5184
102	456	5146
103	457	5107
104	458	5069
105	465	5086
106	466	5049
107	467	5012
108	469	4976
109	470	4941
110	472	4907
111	473	4873
112	479	4884
113	481	4856
114	482	4824
115	483	4791
116	485	4758
117	486	4726
118	487	4695
119	489	4668
120	495	4683
121	497	4660
122	500	4643
123	504	4638
124	506	4623
125	508	4596
126	509	4568
127	511	4540
128	513	4521
129	516	4505
130	517	4477
131	520	4470
132	522	4445
133	523	4419
134	524	4393
135	526	4368
136	527	4344
137	529	4321
138	530	4299
139	532	4277
140	536	4274
141	538	4257
142	539	4234
143	541	4212
144	542	4192
145	545	4183
146	548	4170
147	560	4230
148	563	4223
149	570	4239
150	572	4224
151	574	4208
152	577	4194
153	579	4180
154	585	4194
155	588	4184
156	591	4172
157	593	4156
158	599	4169
159	602	4160
160	605	4150
161	606	4130
162	607	4109
163	609	4089
164	616	4110
165	619	4104
166	623	4096
167	631	4120
168	633	4109
169	635	4094
170	637	4078
171	639	4062
172	641	4047
173	646	4053
174	648	4040
175	651	4030
176	653	4016
177	655	4003
178	659	4001
179	661	3988
180	663	3974
181	665	3960
182	667	3943
183	668	3927
184	669	3910
185	671	3893
186	674	3886
187	677	3882
188	679	3865
189	680	3849
190	681	3833
191	683	3817
192	684	3801
193	685	3785
194	687	3770
195	692	3778
196	695	3768
197	697	3756
198	698	3742
199	700	3732
200	702	3718
201	706	3716
202	708	3707
203	710	3696
204	714	3692
205	716	3681
206	724	3700
207	726	3691
208	727	3678
209	729	3666
210	731	3654
211	733	3641
212	736	3637
213	739	3631
214	741	3621
215	742	3607
216	744	3594
217	745	3581
218	747	3568
219	752	3575
220	754	3566
221	756	3555
222	758	3544
223	787	3661
224	790	3651
225	792	3641
226	794	3632
227	796	3621
228	803	3635
229	804	3622
230	806	3610
231	808	3599
232	810	3590
233	816	3598
234	818	3587
235	821	3580
236	822	3568
237	824	3556
238	825	3545
239	830	3545
240	834	3546
241	836	3534
242	837	3522
243	838	3510
244	842	3506
245	843	3494
246	844	3482
247	846	3470
248	848	3463
249	850	3451
250	851	3440
251	855	3439
252	857	3428
253	858	3416
254	859	3404
255	860	3392
256	862	3381
257	863	3370
258	864	3359
259	873	3377
260	875	3368
261	876	3356
262	878	3345
263	879	3334
264	881	3325
265	885	3325
266	886	3315
267	888	3304
268	889	3294
269	890	3283
270	892	3272
271	893	3262
272	895	3253
273	897	3244
274	900	3241
275	902	3232
276	903	3222
277	904	3212
278	906	3203
279	907	3193
280	909	3186
281	911	3176
282	915	3175
283	916	3166
284	918	3158
285	919	3148
286	921	3138
287	922	3128
288	923	3119
289	924	3109
290	926	3100
291	930	3099
292	931	3090
293	933	3081
294	934	3073
295	935	3063
296	949	3094
297	951	3087
298	953	3080
299	954	3071
300	956	3062
301	957	3053
302	961	3053
303	963	3047
304	966	3041
305	972	3046
306	977	3050
307	979	3043
308	984	3046
309	987	3043
310	989	3035
311	992	3031
312	994	3023
313	995	3015
314	997	3007
315	999	3000
316	1001	2994
317	1009	3006
318	1010	2997
319	1012	2989
320	1013	2981
321	1014	2972
322	1016	2964
323	1023	2971
324	1025	2967
325	1027	2959
326	1029	2952
327	1030	2944
328	1032	2937
329	1035	2934
330	1036	2925
331	1038	2917
332	1039	2908
333	1040	2899
334	1041	2891
335	1042	2882
336	1043	2874
337	1046	2870
338	1047	2862
339	1049	2854
340	1050	2846
341	1051	2838
342	1053	2831
343	1054	2823
344	1055	2815
345	1057	2807
346	1058	2799
347	1061	2797
348	1062	2789
349	1064	2782
350	1066	2776
351	1067	2768
352	1068	2761
353	1070	2754
354	1071	2747
355	1072	2739
356	1076	2738
357	1078	2732
358	1080	2726
359	1081	2719
360	1083	2712
361	1085	2708
362	1087	2701
363	1094	2708
364	1095	2701
365	1096	2694
366	1098	2687
367	1099	2680
368	1101	2673
369	1102	2666
370	1103	2659
371	1110	2665
372	1112	2660
373	1113	2653
374	1116	2649
375	1117	2642
376	1120	2639
377	1125	2641
378	1128	2637
379	1129	2630
380	1130	2623
381	1132	2616
382	1133	2609
383	1138	2612
384	1140	2605
385	1141	2600
386	1142	2593
387	1143	2585
388	1145	2578
389	1146	2571
390	1148	2566
391	1150	2561
392	1151	2555
393	1153	2549
394	1155	2544
395	1156	2538
396	1157	2531
397	1161	2529
398	1163	2525
399	1165	2520
400	1167	2514
401	1168	2508
402	1169	2501
403	1170	2494
404	1171	2488
405	1173	2482
406	1176	2480
407	1177	2473
408	1179	2467
409	1180	2460
410	1181	2454
411	1182	2448
412	1183	2441
413	1184	2435
414	1186	2429
415	1187	2423
416	1191	2422
417	1193	2417
418	1195	2413
419	1196	2407
420	1197	2401
421	1198	2394
422	1199	2388
423	1201	2383
424	1204	2380
425	1206	2375
426	1207	2369
427	1209	2364
428	1210	2358
429	1211	2352
430	1212	2346
431	1213	2340
432	1215	2335
433	1221	2338
434	1222	2332
435	1223	2326
436	1224	2320
437	1225	2314
438	1227	2308
439	1228	2303
440	1230	2298
441	1231	2293
442	1235	2292
443	1236	2287
444	1238	2281
445	1239	2275
446	1241	2271
447	1242	2266
448	1245	2263
449	1246	2257
450	1250	2256
451	1251	2251
452	1253	2246
453	1254	2241
454	1255	2235
455	1258	2231
456	1261	2230
457	1265	2230
458	1267	2225
459	1268	2219
460	1269	2213
461	1270	2208
462	1272	2204
463	1273	2198
464	1274	2193
465	1276	2187
466	1277	2182
467	1280	2181
468	1282	2175
469	1283	2170
470	1284	2165
471	1285	2160
472	1287	2155
473	1288	2149
474	1289	2144
475	1290	2139
476	1292	2134
477	1295	2132
478	1296	2127
479	1297	2122
480	1298	2116
481	1300	2112
482	1301	2106
483	1302	2101
484	1303	2096
485	1304	2091
486	1306	2086
487	1309	2084
488	1310	2080
489	1312	2075
490	1313	2070
491	1314	2066
492	1316	2061
493	1318	2057
494	1319	2052
495	1320	2047
496	1321	2042
497	1324	2040
498	1326	2035
499	1328	2033
500	1332	2032
501	1334	2028
502	1336	2024
503	1339	2022
504	1341	2019
505	1343	2015
506	1345	2011
507	1346	2006
508	1347	2002
509	1349	1997
510	1350	1992
511	1351	1987
512	1355	1987
513	1357	1984
514	1359	1979
515	1361	1975
516	1362	1970
517	1364	1968
518	1366	1963
519	1371	1964
520	1373	1960
521	1374	1956
522	1377	1954
523	1382	1955
524	1384	1950
525	1385	1946
