iter	Passed	Remaining
0	142	180189
1	143	90885
2	145	61024
3	146	46068
4	147	37089
5	148	31099
6	149	26826
7	150	23633
8	151	21134
9	152	19136
10	153	17539
11	154	16179
12	155	15023
13	157	14029
14	158	13171
15	159	12418
16	160	11752
17	161	11164
18	162	10634
19	163	10159
20	164	9728
21	165	9334
22	167	9023
23	168	8706
24	169	8425
25	171	8170
26	173	7932
27	174	7710
28	175	7487
29	178	7340
30	179	7144
31	180	6969
32	182	6801
33	183	6638
34	184	6493
35	185	6349
36	187	6215
37	188	6084
38	189	5959
39	190	5841
40	191	5727
41	193	5622
42	194	5531
43	195	5438
44	197	5349
45	199	5278
46	201	5231
47	203	5168
48	206	5135
49	209	5100
50	212	5047
51	215	5028
52	217	4977
53	220	4943
54	222	4893
55	225	4858
56	227	4810
57	228	4754
58	230	4717
59	232	4662
60	233	4608
61	234	4555
62	236	4505
63	237	4459
64	239	4412
65	240	4369
66	241	4324
67	243	4280
68	244	4240
69	246	4199
70	247	4159
71	248	4121
72	251	4104
73	253	4078
74	255	4055
75	257	4029
76	258	3994
77	260	3968
78	262	3934
79	263	3901
80	264	3872
81	266	3841
82	267	3810
83	268	3780
84	270	3751
85	271	3721
86	272	3694
87	274	3672
88	276	3648
89	277	3621
90	278	3598
91	280	3573
92	281	3548
93	282	3523
94	284	3503
95	285	3479
96	287	3456
97	288	3436
98	289	3415
99	291	3393
100	292	3375
101	299	3410
102	300	3395
103	302	3381
104	305	3376
105	307	3363
106	308	3342
107	310	3324
108	311	3304
109	312	3285
110	314	3267
111	315	3248
112	316	3230
113	318	3216
114	320	3203
115	322	3191
116	324	3182
117	325	3168
118	327	3151
119	328	3135
120	329	3119
121	331	3103
122	332	3087
123	334	3077
124	335	3063
125	337	3048
126	338	3033
127	339	3018
128	341	3004
129	342	2989
130	343	2975
131	345	2961
132	346	2948
133	347	2934
134	349	2929
135	351	2918
136	353	2907
137	354	2894
138	355	2881
139	356	2868
140	358	2856
141	359	2843
142	360	2830
143	362	2818
144	365	2821
145	367	2814
146	369	2807
147	371	2805
148	373	2798
149	375	2791
150	377	2784
151	379	2780
152	381	2776
153	384	2773
154	388	2779
155	390	2776
156	396	2798
157	399	2802
158	402	2801
159	404	2790
160	405	2779
161	406	2769
162	408	2762
163	410	2754
164	411	2743
165	412	2733
166	414	2723
167	415	2713
168	416	2703
169	418	2693
170	419	2683
171	420	2674
172	422	2669
173	425	2666
174	426	2659
175	428	2649
176	429	2640
177	430	2631
178	432	2622
179	433	2613
180	435	2605
181	436	2595
182	437	2585
183	438	2577
184	439	2567
185	441	2558
186	442	2548
187	443	2539
188	444	2530
189	445	2520
190	446	2511
191	447	2502
192	450	2500
193	451	2491
194	452	2482
195	453	2474
196	454	2465
197	455	2457
198	457	2448
199	458	2439
200	459	2431
201	460	2422
202	461	2414
203	463	2408
204	464	2401
205	465	2393
206	466	2384
207	468	2380
208	469	2372
209	470	2364
210	471	2357
211	472	2349
212	474	2341
213	475	2333
214	476	2326
215	477	2320
216	479	2314
217	480	2307
218	481	2299
219	482	2293
220	483	2286
221	485	2279
222	486	2271
223	487	2265
224	488	2258
225	489	2251
226	491	2248
227	493	2242
228	494	2236
229	497	2240
230	501	2243
231	502	2237
232	504	2233
233	505	2227
234	506	2221
235	508	2215
236	509	2211
237	511	2208
238	512	2201
239	514	2196
240	515	2190
241	517	2186
242	518	2181
243	520	2176
244	521	2170
245	522	2164
246	523	2159
247	525	2153
248	526	2149
249	527	2142
250	528	2136
251	530	2130
252	531	2124
253	532	2119
254	533	2113
255	534	2107
256	535	2101
257	537	2096
258	538	2090
259	539	2084
260	540	2080
261	541	2074
262	542	2068
263	544	2063
264	545	2057
265	546	2052
266	547	2048
267	549	2043
268	550	2039
269	552	2035
270	553	2031
271	555	2027
272	556	2021
273	557	2016
274	558	2011
275	560	2006
276	561	2001
277	562	1996
278	563	1991
279	564	1986
280	565	1980
281	566	1975
282	568	1971
283	569	1967
284	570	1961
285	571	1956
286	572	1951
287	573	1947
288	575	1942
289	576	1937
290	577	1932
291	578	1927
292	579	1922
293	580	1917
294	581	1912
295	582	1908
296	584	1903
297	585	1898
298	586	1894
299	587	1890
